dataset,noise_model,noise_level,uq_method,observed_coverage,calibration_error,mean_width,normalized_width,sharpness,cal_sharp_score,interval_score
Line,homoskedastic,0.01,HatMatrix,0.974,0.02400000000000002,0.01023072868340757,0.012795433103397695,78.15288407349496,0.2527954331033979,0.010929416437671768
Line,homoskedastic,0.01,Bayesian,1.0,0.050000000000000044,3.1258525365959193,3.9094612183359474,0.25578972245839227,4.409461218335948,3.1258525365959193
Line,homoskedastic,0.02,HatMatrix,0.892,0.05799999999999994,0.015651533800332323,0.01943981143555784,51.440828184725866,0.5994398114355572,0.023628837535692122
Line,homoskedastic,0.02,Bayesian,1.0,0.050000000000000044,3.141215846893775,3.9015117956493537,0.25631090007599566,4.401511795649354,3.141215846893775
Line,homoskedastic,0.05,HatMatrix,0.972,0.02200000000000002,0.049752113763747816,0.06052465208266149,16.522193281412854,0.2805246520826617,0.05594772726493541
Line,homoskedastic,0.05,Bayesian,1.0,0.050000000000000044,3.1295836443581764,3.807214345461363,0.26265923304058647,4.307214345461364,3.1295836443581764
Line,homoskedastic,0.1,HatMatrix,0.946,0.0040000000000000036,0.08902963699582178,0.10285903900321232,9.72204299875648,0.14285903900321234,0.10849817166476013
Line,homoskedastic,0.1,Bayesian,1.0,0.050000000000000044,3.105876956803043,3.588327772851364,0.2786813422022978,4.088327772851365,3.105876956803043
Line,heteroskedastic,0.01,HatMatrix,0.91,0.039999999999999925,0.01921607579113831,0.023695219819504572,42.20260489741717,0.4236952198195038,0.029610002401318298
Line,heteroskedastic,0.01,Bayesian,1.0,0.050000000000000044,3.13943389112698,3.8712157970027308,0.25831678016354576,4.371215797002732,3.13943389112698
Line,heteroskedastic,0.02,HatMatrix,0.934,0.015999999999999903,0.04800026442141181,0.05729095912221795,17.45476101851803,0.217290959122217,0.06524251867941432
Line,heteroskedastic,0.02,Bayesian,1.0,0.050000000000000044,3.155392937964911,3.766135249514233,0.2655241869311472,4.2661352495142335,3.155392937964911
Line,heteroskedastic,0.05,HatMatrix,0.948,0.0020000000000000018,0.1088230077445282,0.1291062674946173,7.745557356785116,0.1491062674946173,0.144914341393501
Line,heteroskedastic,0.05,Bayesian,1.0,0.050000000000000044,3.1159930842294545,3.6967755714703956,0.27050600737502956,4.196775571470396,3.1159930842294545
Line,heteroskedastic,0.1,HatMatrix,0.946,0.0040000000000000036,0.22265069913652044,0.23929812668941333,4.178887707290357,0.27929812668941334,0.2689019637711385
Line,heteroskedastic,0.1,Bayesian,1.0,0.050000000000000044,3.065061072401255,3.29423341430666,0.3035607603447465,3.7942334143066603,3.065061072401255
Polynomial,homoskedastic,0.01,HatMatrix,0.906,0.04399999999999993,0.00830927371047202,0.011045043573976478,90.53834811083287,0.45104504357397573,0.011257783216761914
Polynomial,homoskedastic,0.01,Bayesian,1.0,0.050000000000000044,3.6594225734874066,4.864261689781972,0.20558104472475913,5.364261689781973,3.6594225734874066
