dataset,noise_model,noise_level,uq_method,observed_coverage,calibration_error,mean_width,normalized_width,sharpness,cal_sharp_score,interval_score
LennardJones,homoskedastic,0.1,Bayesian,1.0,0.050000000000000044,2.0942222478083448,2.104534327250724,0.4751644993628393,2.6045343272507244,2.0942222478083448
LennardJones,heteroskedastic,0.01,HatMatrix,0.95,0.0,0.008687603826483365,0.00870321006532624,114.90013368561786,0.00870321006532624,0.009518750044146323
LennardJones,heteroskedastic,0.01,Bayesian,1.0,0.050000000000000044,2.0381650734722454,2.0418263927005524,0.48975760308269106,2.541826392700553,2.0381650734722454
LennardJones,heteroskedastic,0.02,HatMatrix,0.918,0.03199999999999992,0.018389690313429987,0.018159610549670982,55.06726024023231,0.33815961054967014,0.0218476455872051
LennardJones,heteroskedastic,0.02,Bayesian,1.0,0.050000000000000044,1.9632482626906438,1.9386853859493067,0.5158134513457091,2.438685385949307,1.9632482626906438
LennardJones,heteroskedastic,0.05,HatMatrix,0.916,0.03399999999999992,0.049559704254164394,0.0460285602539833,21.725641525219338,0.38602856025398247,0.05653638634037213
LennardJones,heteroskedastic,0.05,Bayesian,1.0,0.050000000000000044,2.0289714453961523,1.8844066128619195,0.5306710309625067,2.3844066128619197,2.0289714453961523
LennardJones,heteroskedastic,0.1,HatMatrix,0.962,0.01200000000000001,0.11300900622890019,0.09951606204481364,10.048629130337616,0.21951606204481375,0.12215146925528182
LennardJones,heteroskedastic,0.1,Bayesian,1.0,0.050000000000000044,2.1324044911521995,1.8778016436699958,0.53253761033332,2.3778016436699962,2.1324044911521995
Shomate,homoskedastic,0.01,HatMatrix,0.932,0.017999999999999905,0.017085657447029938,0.017108983657735017,58.44882548285663,0.19710898365773408,0.02008625172339606
Shomate,homoskedastic,0.01,Bayesian,1.0,0.050000000000000044,1.5986390656453873,1.600821609208737,0.6246792236233527,2.1008216092087375,1.5986390656453873
Shomate,homoskedastic,0.02,HatMatrix,0.924,0.025999999999999912,0.028418114230021305,0.02820301404685816,35.45720320312363,0.2882030140468573,0.033749356410172904
Shomate,homoskedastic,0.02,Bayesian,1.0,0.050000000000000044,2.060217934604292,2.0446238930186182,0.4890875057336983,2.5446238930186187,2.060217934604292
Shomate,homoskedastic,0.05,HatMatrix,0.854,0.09599999999999997,0.0750933411737385,0.07321166199225038,13.65902607300258,1.03321166199225,0.14966044255321437
Shomate,homoskedastic,0.05,Bayesian,1.0,0.050000000000000044,1.763007165618517,1.7188299612418534,0.5817911152057768,2.2188299612418536,1.763007165618517
Shomate,homoskedastic,0.1,HatMatrix,0.826,0.124,0.11041886078706725,0.10701533197076682,9.344455430677616,1.3470153319707667,0.20804447796048245
Shomate,homoskedastic,0.1,Bayesian,1.0,0.050000000000000044,2.1580690806511735,2.091549192190021,0.478114501793247,2.5915491921900213,2.1580690806511735
Shomate,heteroskedastic,0.01,HatMatrix,0.944,0.006000000000000005,0.039873967470048996,0.03983472247952772,25.103727044011176,0.09983472247952777,0.04556683501460205
Shomate,heteroskedastic,0.01,Bayesian,1.0,0.050000000000000044,1.2928611770492193,1.2915887096260381,0.7742402767592605,1.7915887096260386,1.2928611770492193
Shomate,heteroskedastic,0.02,HatMatrix,0.818,0.132,0.0691867135633133,0.06625066973808573,15.094187031669009,1.3862506697380859,0.1895026885494862
Shomate,heteroskedastic,0.02,Bayesian,1.0,0.050000000000000044,0.8818438301719892,0.8444214408280849,1.184242786421134,1.3444214408280852,0.8818438301719892
Shomate,heteroskedastic,0.05,HatMatrix,0.954,0.0040000000000000036,0.3322835699385131,0.291674475243355,3.4284796404130407,0.331674475243355,0.36118166808259705
Shomate,heteroskedastic,0.05,Bayesian,1.0,0.050000000000000044,0.8864309613906792,0.7780983138917518,1.2851846381704395,1.278098313891752,0.8864309613906792
Shomate,heteroskedastic,0.1,HatMatrix,0.934,0.015999999999999903,0.3831117365105742,0.32755323953782145,3.0529388181628208,0.4875532395378205,0.4921073221918539
Shomate,heteroskedastic,0.1,Bayesian,1.0,0.050000000000000044,1.1944768707276712,1.021254979352608,0.9791873921965287,1.5212549793526084,1.1944768707276712
