dataset,noise_model,noise_level,uq_method,n_train,n_test,coverage,rmse,mae,r2,mean_width,normalized_width,interval_score,miscalibration_area,coverage_extrap_low,coverage_interpolation,coverage_extrap_high,seed
Polynomial,heteroskedastic,0.02,Conformal,51,500,0.958,0.007712720241486034,0.004830928034290984,0.998825868170496,0.03622203328903784,0.047335620106583355,0.04743207408907047,0.16623222222222225,1.0,0.9866666666666667,0.83,1653896476
Polynomial,heteroskedastic,0.05,HatMatrix,51,500,0.878,0.0263038263126524,0.015882310317682807,0.9863908614881953,0.07058867652379873,0.08844838430523619,0.18874844058078094,0.0759137037037037,1.0,0.9766666666666667,0.46,1352318916
Polynomial,heteroskedastic,0.05,Bayesian,51,500,1.0,0.028448790303499158,0.01766129918164345,0.984080831262144,1.8078671021327843,2.265277266791133,1.8078671021327843,0.4011922222222222,1.0,1.0,1.0,1352318916
Polynomial,heteroskedastic,0.05,Conformal,51,500,0.95,0.02729180799747365,0.016414632258370192,0.9853493331595311,0.11368814348292312,0.14245248814569048,0.1623456364444712,0.15881555555555554,1.0,1.0,0.75,1352318916
Polynomial,heteroskedastic,0.1,HatMatrix,51,500,0.94,0.03866552094524708,0.026001610033881007,0.9714314077769441,0.15877317442609998,0.18309240052568326,0.21140532599405457,0.10531666666666667,1.0,0.9633333333333334,0.81,1740623009
Polynomial,heteroskedastic,0.1,Bayesian,51,500,1.0,0.04138144992249255,0.028723898471859213,0.9672770449915017,2.0834968370200486,2.402625246717751,2.0834968370200486,0.39911555555555556,1.0,1.0,1.0,1740623009
Polynomial,heteroskedastic,0.1,Conformal,51,500,0.984,0.03826239892022498,0.02572551661037151,0.972024007746253,0.22670887050401856,0.2614337810595768,0.24586604957338257,0.18541666666666667,1.0,0.9966666666666667,0.93,1740623009
LennardJones,homoskedastic,0.01,HatMatrix,51,500,0.536,0.0028863031597618923,0.00135325995955271,0.9992004236804868,0.002622951805297595,0.0026241638781021887,0.013735777019737978,0.27975666666666665,0.53,0.52,0.59,1911328255
LennardJones,homoskedastic,0.01,Bayesian,51,500,1.0,0.0029130999157997023,0.001360074503552071,0.9991855080522344,2.0337135176639327,2.0346533019337447,2.0337135176639327,0.4049499999999999,1.0,1.0,1.0,1911328255
LennardJones,homoskedastic,0.01,Conformal,51,500,0.532,0.002959562736594196,0.0013723005403864542,0.9991593191882241,0.002013744399206762,0.002014674955695353,0.02391633326879108,0.2662088888888889,0.35,0.57,0.6,1911328255
LennardJones,homoskedastic,0.02,HatMatrix,51,500,0.584,0.002030867562544096,0.0016375110284270371,0.9996041632586075,0.005424715270985449,0.005401492397173618,0.024433723082694037,0.23159777777777776,0.79,0.5666666666666667,0.43,2497418377
LennardJones,homoskedastic,0.02,Bayesian,51,500,1.0,0.002021614627390687,0.0016301639301195144,0.9996077620239563,2.051236125340162,2.0424549091255844,2.051236125340162,0.4049499999999999,1.0,1.0,1.0,2497418377
LennardJones,homoskedastic,0.02,Conformal,51,500,0.622,0.0020360916533053346,0.0016408970008428654,0.999602124182539,0.004243306632598222,0.004225141296806168,0.020399043975112413,0.21834666666666666,0.77,0.6133333333333333,0.5,2497418377
LennardJones,homoskedastic,0.05,HatMatrix,51,500,0.53,0.009750398899667745,0.005933485042076187,0.9908417622782966,0.012436378589194884,0.012367708527918853,0.0717705618251633,0.2956777777777778,0.66,0.49666666666666665,0.5,4096932495
LennardJones,homoskedastic,0.05,Bayesian,51,500,1.0,0.010169278172696292,0.006055227195148251,0.9900379802158669,2.017056758736436,2.005919158652437,2.017056758736436,0.4049499999999999,1.0,1.0,1.0,4096932495
LennardJones,homoskedastic,0.05,Conformal,51,500,0.49,0.010023970694211123,0.006012712626093702,0.9903206382339798,0.01081355159106907,0.01075384230793295,0.0765587028125738,0.3078411111111111,0.62,0.4666666666666667,0.43,4096932495
LennardJones,homoskedastic,0.1,HatMatrix,51,500,0.606,0.010111324758449006,0.007976807414640864,0.9903217174255692,0.029649559927454803,0.02979555618822582,0.11709365159261505,0.19767888888888885,0.79,0.5766666666666667,0.51,3218733241
LennardJones,homoskedastic,0.1,Bayesian,51,500,1.0,0.009880185695742526,0.007822607132717818,0.9907591399426596,2.0945185674368294,2.1048321059753254,2.0945185674368294,0.4049499999999999,1.0,1.0,1.0,3218733241
LennardJones,homoskedastic,0.1,Conformal,51,500,0.736,0.010075512600465807,0.007955887817345053,0.9903901528483893,0.02902744418314966,0.029170377107646632,0.080356014430294,0.1360711111111111,0.83,0.7233333333333334,0.68,3218733241
LennardJones,heteroskedastic,0.01,HatMatrix,51,500,0.95,0.001900257721138877,0.0010496948288514494,0.9996516547958603,0.007278418377741523,0.007291493183852634,0.008118763078460925,0.04667555555555557,1.0,0.9533333333333334,0.89,3758551903
LennardJones,heteroskedastic,0.01,Bayesian,51,500,1.0,0.0020165313952584716,0.00108494206498444,0.9996077212345321,2.0383981438962095,2.0420598818075937,2.0383981438962095,0.4049499999999999,1.0,1.0,1.0,3758551903
LennardJones,heteroskedastic,0.01,Conformal,51,500,0.968,0.0019398316436541189,0.0010608009702012065,0.999636994752516,0.006413217663922383,0.006424738240667541,0.006981422747703867,0.06665111111111115,1.0,0.97,0.93,3758551903
LennardJones,heteroskedastic,0.02,HatMatrix,51,500,0.914,0.012670679797590215,0.00456427685043537,0.9847457640405413,0.015081917338299973,0.01489322226409882,0.018987849493564055,0.05695999999999999,0.98,0.9,0.89,2179538714
LennardJones,heteroskedastic,0.02,Bayesian,51,500,1.0,0.013418415584619906,0.00475964042481777,0.9828922417409998,1.963531588503905,1.9389651669755121,1.963531588503905,0.4044555555555555,1.0,1.0,1.0,2179538714
LennardJones,heteroskedastic,0.02,Conformal,51,500,0.864,0.012550655097931207,0.004532397085532468,0.9850333908241719,0.01037511941270009,0.01024531271216516,0.08781104340496201,0.03503962962962961,0.55,0.9466666666666667,0.93,2179538714
LennardJones,heteroskedastic,0.05,HatMatrix,51,500,0.916,0.00870674999716134,0.005156989158022925,0.9931395086626235,0.04098654576260367,0.03806624191221084,0.04801050944642343,0.06543148148148148,1.0,0.9133333333333333,0.84,1018192587
LennardJones,heteroskedastic,0.05,Bayesian,51,500,1.0,0.011571221275789698,0.0060596536342603,0.9878828225291303,2.029217871044239,1.884635480607637,2.029217871044239,0.4047522222222222,1.0,1.0,1.0,1018192587
LennardJones,heteroskedastic,0.05,Conformal,51,500,0.96,0.008650990000549594,0.005138077537732647,0.9932270995626458,0.030227840451034924,0.028074097626023326,0.03631286102765757,0.08464888888888891,0.96,0.9666666666666667,0.94,1018192587
LennardJones,heteroskedastic,0.1,HatMatrix,51,500,0.962,0.02953386926293996,0.013576080430580733,0.9164075151485167,0.09202325854923035,0.08103595114182308,0.10122049140125233,0.04786222222222224,1.0,0.9533333333333334,0.95,4156606220
LennardJones,heteroskedastic,0.1,Bayesian,51,500,1.0,0.016175988362559138,0.010141636666281066,0.9749234266692657,2.1327584559701043,1.8781133461258952,2.1327584559701043,0.4047522222222222,1.0,1.0,1.0,4156606220
LennardJones,heteroskedastic,0.1,Conformal,51,500,0.956,0.028157950035427676,0.013174419029880891,0.9240148706741246,0.05996322950006452,0.05280379561297108,0.08275411811991333,0.029963333333333363,0.95,0.9566666666666667,0.96,4156606220
Shomate,homoskedastic,0.01,HatMatrix,51,500,0.838,0.005999125571016407,0.004156081585776733,0.9994890569036303,0.013639889632182121,0.01365851150497459,0.025100029145302575,0.10966777777777777,0.77,0.8666666666666667,0.82,1211323130
Shomate,homoskedastic,0.01,Bayesian,51,500,1.0,0.004190422582955007,0.0029995541490647902,0.9997507057430263,1.60125006322415,1.6034361714545229,1.60125006322415,0.4049499999999999,1.0,1.0,1.0,1211323130
Shomate,homoskedastic,0.01,Conformal,51,500,0.808,0.006145827774263854,0.004227032750181459,0.9994637622278159,0.013875208471330027,0.013894151613400067,0.039982297271056094,0.09364777777777775,0.7,0.85,0.79,1211323130
Shomate,homoskedastic,0.02,HatMatrix,51,500,0.876,0.007665215069416353,0.005971222502579874,0.9991669285226846,0.02413656322651841,0.023953870626688255,0.03550437385794038,0.07080444444444442,0.95,0.8966666666666666,0.74,1678208753
Shomate,homoskedastic,0.02,Bayesian,51,500,1.0,0.007157639208128696,0.0056524408395217055,0.999273604437338,2.061054356460175,2.0454539838951495,2.061054356460175,0.4049499999999999,1.0,1.0,1.0,1678208753
Shomate,homoskedastic,0.02,Conformal,51,500,0.852,0.0076646714542637565,0.005973369601032818,0.9991670466809399,0.021777049345080932,0.021612216194472674,0.04319919168216164,0.08524222222222219,0.93,0.89,0.66,1678208753
Shomate,homoskedastic,0.05,HatMatrix,51,500,0.804,0.041599030631208365,0.02473769002093711,0.9754746467294223,0.06383693314691131,0.06223731557449996,0.29608958823915216,0.12588555555555553,0.47,0.9233333333333333,0.78,3432830730
Shomate,homoskedastic,0.05,Bayesian,51,500,1.0,0.01428586061494131,0.01152748123262705,0.9971075779231879,1.7640504334551423,1.7198470870086466,1.7640504334551423,0.4049499999999999,1.0,1.0,1.0,3432830730
Shomate,homoskedastic,0.05,Conformal,51,500,0.794,0.040652316973520855,0.02418197344247614,0.9765782437400073,0.061344909341905,0.059807736578052696,0.3070590687095855,0.12400666666666665,0.43,0.9266666666666666,0.76,3432830730
Shomate,homoskedastic,0.1,HatMatrix,51,500,0.794,0.039733641131342104,0.030142379874192052,0.9776881403629126,0.09108695026308011,0.08827930437903901,0.25216056294170786,0.15040999999999996,0.88,0.87,0.48,2037200284
Shomate,homoskedastic,0.1,Bayesian,51,500,1.0,0.028945406743777057,0.023315775956547987,0.988159273423917,2.159426583494852,2.0928648516383435,2.159426583494852,0.40415888888888885,1.0,1.0,1.0,2037200284
Shomate,homoskedastic,0.1,Conformal,51,500,0.784,0.040950964053917814,0.03082510330516679,0.9763000571008561,0.0871385922299469,0.08445264974192937,0.2634850206021464,0.1580244444444444,0.87,0.86,0.47,2037200284
Shomate,heteroskedastic,0.01,HatMatrix,51,500,0.936,0.008477525030299632,0.0065708004044167335,0.9989830446226836,0.0323671049460955,0.032335248403910055,0.042431123446928815,0.019777777777777773,1.0,0.94,0.86,2384060789
Shomate,heteroskedastic,0.01,Bayesian,51,500,1.0,0.011394727197452065,0.00805193374800511,0.9981627358540685,1.293750385089536,1.2924770424847933,1.293750385089536,0.4047522222222222,1.0,1.0,1.0,2384060789
Shomate,heteroskedastic,0.01,Conformal,51,500,0.94,0.008379330629531565,0.006490556577470095,0.999006466787242,0.03375647938377204,0.033723255383315026,0.04258182116108584,0.024062962962962994,1.0,0.9433333333333334,0.87,2384060789
Shomate,heteroskedastic,0.02,HatMatrix,51,500,0.72,0.04024629300893576,0.025162522461211177,0.9771076208611297,0.056189682075836585,0.05380518712581573,0.35572060991467547,0.14684999999999995,0.59,0.89,0.34,700146839
Shomate,heteroskedastic,0.02,Bayesian,51,500,1.0,0.02068305332394253,0.01514945789124365,0.9939539955312645,0.8817967217765884,0.8443763315493686,0.8817967217765884,0.3956544444444444,1.0,1.0,1.0,700146839
Shomate,heteroskedastic,0.02,Conformal,51,500,0.742,0.042792119920478454,0.026511282860598607,0.9741198514698242,0.06407375911891622,0.06135469132206156,0.3558371947893923,0.12914888888888887,0.56,0.9166666666666666,0.4,700146839
Shomate,heteroskedastic,0.05,HatMatrix,51,500,0.768,0.236440982948017,0.10789455981354823,0.21267282094019002,0.20128014949021433,0.1766812665168064,1.9138927566444146,0.11500777777777776,0.28,0.9433333333333334,0.73,777264866
Shomate,heteroskedastic,0.05,Bayesian,51,500,1.0,0.04498399027194846,0.033965468358787165,0.9715012583274167,0.8864356238832473,0.7781024065710057,0.8864356238832473,0.3570877777777778,1.0,1.0,1.0,777264866
Shomate,heteroskedastic,0.05,Conformal,51,500,0.758,0.24214332266492028,0.11020965555744422,0.17423831782035704,0.21215731701769722,0.1862291118445176,1.8041788457994345,0.09799888888888886,0.28,0.96,0.63,777264866
Shomate,heteroskedastic,0.1,HatMatrix,51,500,0.868,0.15341417065765606,0.09525038932725854,0.6831756897367989,0.3211420485345827,0.27457033633949113,0.6825068351143095,0.07238666666666664,0.72,0.9133333333333333,0.88,2142603286
Shomate,heteroskedastic,0.1,Bayesian,51,500,1.0,0.06740136653961658,0.04936716294653861,0.9388459888138804,1.1944859861199089,1.0212627728393968,1.1944859861199089,0.3467044444444444,1.0,1.0,1.0,2142603286
Shomate,heteroskedastic,0.1,Conformal,51,500,0.854,0.1748817888169808,0.10413515467111628,0.5883039325831041,0.40221714674908265,0.3438880014882682,1.2497264809735347,0.021788518518518506,0.52,0.9466666666666667,0.91,2142603286
