,,,,coverage,coverage,rmse,rmse,mean_width,mean_width
,,,,mean,std,mean,std,mean,std
dataset,noise_model,noise_level,uq_method,,,,,,
Polynomial,homoskedastic,0.1,Bayesian,1.0,,0.0243,,2.5082,
Polynomial,homoskedastic,0.1,Conformal,0.964,,0.0226,,0.0936,
Polynomial,homoskedastic,0.1,HatMatrix,0.95,,0.0226,,0.0889,
Shomate,heteroskedastic,0.01,Bayesian,1.0,,0.0114,,1.2938,
Shomate,heteroskedastic,0.01,Conformal,0.94,,0.0084,,0.0338,
Shomate,heteroskedastic,0.01,HatMatrix,0.936,,0.0085,,0.0324,
Shomate,heteroskedastic,0.02,Bayesian,1.0,,0.0207,,0.8818,
Shomate,heteroskedastic,0.02,Conformal,0.742,,0.0428,,0.0641,
Shomate,heteroskedastic,0.02,HatMatrix,0.72,,0.0402,,0.0562,
Shomate,heteroskedastic,0.05,Bayesian,1.0,,0.045,,0.8864,
Shomate,heteroskedastic,0.05,Conformal,0.758,,0.2421,,0.2122,
Shomate,heteroskedastic,0.05,HatMatrix,0.768,,0.2364,,0.2013,
Shomate,heteroskedastic,0.1,Bayesian,1.0,,0.0674,,1.1945,
Shomate,heteroskedastic,0.1,Conformal,0.854,,0.1749,,0.4022,
Shomate,heteroskedastic,0.1,HatMatrix,0.868,,0.1534,,0.3211,
Shomate,homoskedastic,0.01,Bayesian,1.0,,0.0042,,1.6013,
Shomate,homoskedastic,0.01,Conformal,0.808,,0.0061,,0.0139,
Shomate,homoskedastic,0.01,HatMatrix,0.838,,0.006,,0.0136,
Shomate,homoskedastic,0.02,Bayesian,1.0,,0.0072,,2.0611,
Shomate,homoskedastic,0.02,Conformal,0.852,,0.0077,,0.0218,
Shomate,homoskedastic,0.02,HatMatrix,0.876,,0.0077,,0.0241,
Shomate,homoskedastic,0.05,Bayesian,1.0,,0.0143,,1.7641,
Shomate,homoskedastic,0.05,Conformal,0.794,,0.0407,,0.0613,
Shomate,homoskedastic,0.05,HatMatrix,0.804,,0.0416,,0.0638,
Shomate,homoskedastic,0.1,Bayesian,1.0,,0.0289,,2.1594,
Shomate,homoskedastic,0.1,Conformal,0.784,,0.041,,0.0871,
Shomate,homoskedastic,0.1,HatMatrix,0.794,,0.0397,,0.0911,
