alpha_1,alpha_2,lambda_1,lambda_2,dataset,noise_model,noise_level,coverage,width,score
1e-07,1e-05,1e-06,1e-07,LennardJones,homoskedastic,0.02,1.0,2.0509608072568546,1.0254804036284273
1e-07,1e-05,1e-06,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0168031312408004,1.0084015656204002
1e-07,1e-05,1e-06,1e-07,LennardJones,homoskedastic,0.1,1.0,2.09423182670878,1.04711591335439
1e-07,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.038174257164779,1.0190871285823895
1e-07,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.963257140819887,0.9816285704099434
1e-07,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.028980847643019,1.0144904238215096
1e-07,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.132415731476954,1.066207865738477
1e-07,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.01,1.0,1.5986441824496627,0.7993220912248313
1e-07,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.02,1.0,2.0602244874619484,1.0301122437309742
1e-07,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.05,1.0,1.7630163848172002,0.8815081924086001
1e-07,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.1,1.0,2.158084774126103,1.0790423870630514
1e-07,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2928658635690418,0.6464329317845209
1e-07,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8818469550375877,0.44092347751879385
1e-07,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864346792988386,0.4432173396494193
1e-07,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944819429391305,0.5972409714695652
1e-07,1e-05,1e-06,1e-06,Line,homoskedastic,0.01,1.0,3.1258850930405786,1.5629425465202893
1e-07,1e-05,1e-06,1e-06,Line,homoskedastic,0.02,1.0,3.141248519795008,1.570624259897504
1e-07,1e-05,1e-06,1e-06,Line,homoskedastic,0.05,1.0,3.129616226530993,1.5648081132654965
1e-07,1e-05,1e-06,1e-06,Line,homoskedastic,0.1,1.0,3.1059093542803424,1.5529546771401712
1e-07,1e-05,1e-06,1e-06,Line,heteroskedastic,0.01,1.0,3.139466550419545,1.5697332752097726
1e-07,1e-05,1e-06,1e-06,Line,heteroskedastic,0.02,1.0,3.155425716438273,1.5777128582191364
1e-07,1e-05,1e-06,1e-06,Line,heteroskedastic,0.05,1.0,3.1160255534193695,1.5580127767096847
1e-07,1e-05,1e-06,1e-06,Line,heteroskedastic,0.1,1.0,3.065093114105829,1.5325465570529144
1e-07,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.01,1.0,3.6594349057284203,1.8297174528642102
1e-07,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.02,1.0,3.459057552591882,1.729528776295941
1e-07,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.05,1.0,3.322828332400127,1.6614141662000634
1e-07,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5068557428107607,1.2534278714053804
1e-07,1e-05,1e-06,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.5458511719757206,1.7729255859878603
1e-07,1e-05,1e-06,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.437042156716882,1.718521078358441
1e-07,1e-05,1e-06,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8077135404578881,0.9038567702289441
1e-07,1e-05,1e-06,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0827105255254024,1.0413552627627012
1e-07,1e-05,1e-06,1e-06,LennardJones,homoskedastic,0.01,1.0,2.033466845405995,1.0167334227029976
1e-07,1e-05,1e-06,1e-06,LennardJones,homoskedastic,0.02,1.0,2.050964182434206,1.025482091217103
1e-07,1e-05,1e-06,1e-06,LennardJones,homoskedastic,0.05,1.0,2.0168065724837416,1.0084032862418708
1e-07,1e-05,1e-06,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0942351886242294,1.0471175943121147
1e-07,1e-05,1e-06,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.038177654570973,1.0190888272854866
1e-07,1e-05,1e-06,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.963260682122032,0.981630341061016
1e-07,1e-05,1e-06,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.0289843679526394,1.0144921839763197
1e-07,1e-05,1e-06,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.13241958418567,1.066209792092835
1e-07,1e-05,1e-06,1e-06,Shomate,homoskedastic,0.01,1.0,1.5986473811917126,0.7993236905958563
1e-07,1e-05,1e-06,1e-06,Shomate,homoskedastic,0.02,1.0,2.0602269598877627,1.0301134799438814
1e-07,1e-05,1e-06,1e-06,Shomate,homoskedastic,0.05,1.0,1.7630214355817835,0.8815107177908917
1e-07,1e-05,1e-06,1e-06,Shomate,homoskedastic,0.1,1.0,2.1580907128356506,1.0790453564178253
1e-07,1e-05,1e-06,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2928704906289155,0.6464352453144577
1e-07,1e-05,1e-06,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8818542862356273,0.44092714311781367
1e-07,1e-05,1e-06,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864459056888029,0.44322295284440144
1e-07,1e-05,1e-06,1e-06,Shomate,heteroskedastic,0.1,1.0,1.1944904858434997,0.5972452429217499
1e-07,1e-05,1e-06,1e-05,Line,homoskedastic,0.01,1.0,3.1259293339375818,1.5629646669687909
1e-07,1e-05,1e-06,1e-05,Line,homoskedastic,0.02,1.0,3.141292544607569,1.5706462723037844
1e-07,1e-05,1e-06,1e-05,Line,homoskedastic,0.05,1.0,3.129660420248278,1.564830210124139
1e-07,1e-05,1e-06,1e-05,Line,homoskedastic,0.1,1.0,3.1059538998887173,1.5529769499443586
1e-07,1e-05,1e-06,1e-05,Line,heteroskedastic,0.01,1.0,3.139510600608315,1.5697553003041576
1e-07,1e-05,1e-06,1e-05,Line,heteroskedastic,0.02,1.0,3.155469548142054,1.577734774071027
1e-07,1e-05,1e-06,1e-05,Line,heteroskedastic,0.05,1.0,3.116069962652767,1.5580349813263834
1e-07,1e-05,1e-06,1e-05,Line,heteroskedastic,0.1,1.0,3.0651383550151654,1.5325691775075827
1e-07,1e-05,1e-06,1e-05,Polynomial,homoskedastic,0.01,1.0,3.6594475999873457,1.8297237999936729
1e-07,1e-05,1e-06,1e-05,Polynomial,homoskedastic,0.02,1.0,3.459071245211285,1.7295356226056424
1e-07,1e-05,1e-06,1e-05,Polynomial,homoskedastic,0.05,1.0,3.3228454640159706,1.6614227320079853
1e-07,1e-05,1e-06,1e-05,Polynomial,homoskedastic,0.1,1.0,2.5069041329187693,1.2534520664593847
1e-07,1e-05,1e-06,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.5458645151001855,1.7729322575500928
1e-07,1e-05,1e-06,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.43705692007221,1.718528460036105
1e-07,1e-05,1e-06,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.8077476902187295,0.9038738451093647
1e-07,1e-05,1e-06,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.082831773860674,1.041415886930337
1e-07,1e-05,1e-06,1e-05,LennardJones,homoskedastic,0.01,1.0,2.0335008696729084,1.0167504348364542
1e-07,1e-05,1e-06,1e-05,LennardJones,homoskedastic,0.02,1.0,2.0509979339009172,1.0254989669504586
1e-07,1e-05,1e-06,1e-05,LennardJones,homoskedastic,0.05,1.0,2.016840984585466,1.008420492292733
1e-07,1e-05,1e-06,1e-05,LennardJones,homoskedastic,0.1,1.0,2.0942688074605353,1.0471344037302677
1e-07,1e-05,1e-06,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.038211628319691,1.0191058141598455
1e-07,1e-05,1e-06,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.9632960947845084,0.9816480473922542
1e-07,1e-05,1e-06,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0290195706697056,1.0145097853348528
1e-07,1e-05,1e-06,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.1324581106405103,1.0662290553202551
1e-07,1e-05,1e-06,1e-05,Shomate,homoskedastic,0.01,1.0,1.5986793682471865,0.7993396841235932
1e-07,1e-05,1e-06,1e-05,Shomate,homoskedastic,0.02,1.0,2.060251683933021,1.0301258419665105
1e-07,1e-05,1e-06,1e-05,Shomate,homoskedastic,0.05,1.0,1.7630719405261652,0.8815359702630826
1e-07,1e-05,1e-06,1e-05,Shomate,homoskedastic,0.1,1.0,2.158150093838949,1.0790750469194745
1e-07,1e-05,1e-06,1e-05,Shomate,heteroskedastic,0.01,1.0,1.2929167595159705,0.6464583797579853
1e-07,1e-05,1e-06,1e-05,Shomate,heteroskedastic,0.02,1.0,0.881927593296342,0.440963796648171
1e-07,1e-05,1e-06,1e-05,Shomate,heteroskedastic,0.05,1.0,0.8865581572742431,0.44327907863712157
1e-07,1e-05,1e-06,1e-05,Shomate,heteroskedastic,0.1,1.0,1.194575908763527,0.5972879543817635
1e-07,1e-05,1e-05,1e-07,Line,homoskedastic,0.01,1.0,3.1258525365959193,1.5629262682979597
1e-07,1e-05,1e-05,1e-07,Line,homoskedastic,0.02,1.0,3.141215846893775,1.5706079234468875
1e-07,1e-05,1e-05,1e-07,Line,homoskedastic,0.05,1.0,3.1295836443581764,1.5647918221790882
1e-07,1e-05,1e-05,1e-07,Line,homoskedastic,0.1,1.0,3.105876956803043,1.5529384784015214
1e-07,1e-05,1e-05,1e-07,Line,heteroskedastic,0.01,1.0,3.13943389112698,1.56971694556349
1e-07,1e-05,1e-05,1e-07,Line,heteroskedastic,0.02,1.0,3.155392937964911,1.5776964689824555
1e-07,1e-05,1e-05,1e-07,Line,heteroskedastic,0.05,1.0,3.1159930842294545,1.5579965421147273
1e-07,1e-05,1e-05,1e-07,Line,heteroskedastic,0.1,1.0,3.065061072401255,1.5325305362006274
1e-07,1e-05,1e-05,1e-07,Polynomial,homoskedastic,0.01,1.0,3.6594225734874066,1.8297112867437033
1e-07,1e-05,1e-05,1e-07,Polynomial,homoskedastic,0.02,1.0,3.4590455233330157,1.7295227616665079
1e-07,1e-05,1e-05,1e-07,Polynomial,homoskedastic,0.05,1.0,3.3228143178738607,1.6614071589369304
1e-07,1e-05,1e-05,1e-07,Polynomial,homoskedastic,0.1,1.0,2.5068312295834323,1.2534156147917161
1e-07,1e-05,1e-05,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.545838920337995,1.7729194601689975
1e-07,1e-05,1e-05,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.4370293380539922,1.7185146690269961
1e-07,1e-05,1e-05,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.80770288365489,0.903851441827445
1e-07,1e-05,1e-05,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.0826647378027143,1.0413323689013572
1e-07,1e-05,1e-05,1e-07,LennardJones,homoskedastic,0.01,1.0,2.0334542874472397,1.0167271437236198
1e-07,1e-05,1e-05,1e-07,LennardJones,homoskedastic,0.02,1.0,2.05095156862568,1.02547578431284
1e-07,1e-05,1e-05,1e-07,LennardJones,homoskedastic,0.05,1.0,2.016794024995059,1.0083970124975294
1e-07,1e-05,1e-05,1e-07,LennardJones,homoskedastic,0.1,1.0,2.0942222478083448,1.0471111239041724
1e-07,1e-05,1e-05,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.0381650734722454,1.0190825367361227
1e-07,1e-05,1e-05,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9632482626906438,0.9816241313453219
1e-07,1e-05,1e-05,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0289714453961523,1.0144857226980761
1e-07,1e-05,1e-05,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1324044911521995,1.0662022455760998
1e-07,1e-05,1e-05,1e-07,Shomate,homoskedastic,0.01,1.0,1.5986390656453873,0.7993195328226936
1e-07,1e-05,1e-05,1e-07,Shomate,homoskedastic,0.02,1.0,2.060217934604292,1.030108967302146
1e-07,1e-05,1e-05,1e-07,Shomate,homoskedastic,0.05,1.0,1.763007165618517,0.8815035828092584
1e-07,1e-05,1e-05,1e-07,Shomate,homoskedastic,0.1,1.0,2.1580690806511735,1.0790345403255868
1e-07,1e-05,1e-05,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2928611770492193,0.6464305885246097
1e-07,1e-05,1e-05,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8818438301719892,0.4409219150859946
1e-07,1e-05,1e-05,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864309613906792,0.4432154806953396
1e-07,1e-05,1e-05,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944768707276712,0.5972384353638356
1e-07,1e-05,1e-05,1e-06,Line,homoskedastic,0.01,1.0,3.1258569606802413,1.5629284803401207
1e-07,1e-05,1e-05,1e-06,Line,homoskedastic,0.02,1.0,3.1412202493693457,1.5706101246846729
1e-07,1e-05,1e-05,1e-06,Line,homoskedastic,0.05,1.0,3.1295880637244786,1.5647940318622393
1e-07,1e-05,1e-05,1e-06,Line,homoskedastic,0.1,1.0,3.105881411359015,1.5529407056795075
1e-07,1e-05,1e-05,1e-06,Line,heteroskedastic,0.01,1.0,3.13943829614021,1.569719148070105
1e-07,1e-05,1e-05,1e-06,Line,heteroskedastic,0.02,1.0,3.1553973211293496,1.5776986605646748
1e-07,1e-05,1e-05,1e-06,Line,heteroskedastic,0.05,1.0,3.1159975251477556,1.5579987625738778
1e-07,1e-05,1e-05,1e-06,Line,heteroskedastic,0.1,1.0,3.0650655964887212,1.5325327982443606
1e-07,1e-05,1e-05,1e-06,Polynomial,homoskedastic,0.01,1.0,3.6594238429123274,1.8297119214561637
1e-07,1e-05,1e-05,1e-06,Polynomial,homoskedastic,0.02,1.0,3.459046892594784,1.729523446297392
1e-07,1e-05,1e-05,1e-06,Polynomial,homoskedastic,0.05,1.0,3.3228160310436317,1.6614080155218158
1e-07,1e-05,1e-05,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5068360688080844,1.2534180344040422
1e-07,1e-05,1e-05,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.545840254651311,1.7729201273256554
1e-07,1e-05,1e-05,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.4370308143911332,1.7185154071955666
1e-07,1e-05,1e-05,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8077062986778407,0.9038531493389204
1e-07,1e-05,1e-05,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0826768616497477,1.0413384308248739
1e-07,1e-05,1e-05,1e-06,LennardJones,homoskedastic,0.01,1.0,2.033457689890032,1.016728844945016
1e-07,1e-05,1e-05,1e-06,LennardJones,homoskedastic,0.02,1.0,2.0509549437878944,1.0254774718939472
1e-07,1e-05,1e-05,1e-06,LennardJones,homoskedastic,0.05,1.0,2.016797466222684,1.008398733111342
1e-07,1e-05,1e-05,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0942256097094614,1.0471128048547307
1e-07,1e-05,1e-05,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.0381684708632113,1.0190842354316056
1e-07,1e-05,1e-05,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.9632518039771107,0.9816259019885554
1e-07,1e-05,1e-05,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.028974965691464,1.014487482845732
1e-07,1e-05,1e-05,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.1324083438532924,1.0662041719266462
1e-07,1e-05,1e-05,1e-06,Shomate,homoskedastic,0.01,1.0,1.59864226437887,0.799321132189435
1e-07,1e-05,1e-05,1e-06,Shomate,homoskedastic,0.02,1.0,2.060220407024459,1.0301102035122296
1e-07,1e-05,1e-05,1e-06,Shomate,homoskedastic,0.05,1.0,1.7630122164125186,0.8815061082062593
1e-07,1e-05,1e-05,1e-06,Shomate,homoskedastic,0.1,1.0,2.158075019492635,1.0790375097463174
1e-07,1e-05,1e-05,1e-06,Shomate,heteroskedastic,0.01,1.0,1.292865804105781,0.6464329020528905
1e-07,1e-05,1e-05,1e-06,Shomate,heteroskedastic,0.02,1.0,0.881851161352867,0.4409255806764335
1e-07,1e-05,1e-05,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864421877453904,0.4432210938726952
1e-07,1e-05,1e-05,1e-06,Shomate,heteroskedastic,0.1,1.0,1.1944854136109606,0.5972427068054803
1e-07,1e-05,1e-05,1e-05,Line,homoskedastic,0.01,1.0,3.1259012011790857,1.5629506005895428
1e-07,1e-05,1e-05,1e-05,Line,homoskedastic,0.02,1.0,3.141264273785694,1.570632136892847
1e-07,1e-05,1e-05,1e-05,Line,homoskedastic,0.05,1.0,3.129632257044083,1.5648161285220414
1e-07,1e-05,1e-05,1e-05,Line,homoskedastic,0.1,1.0,3.1059259565667126,1.5529629782833563
1e-07,1e-05,1e-05,1e-05,Line,heteroskedastic,0.01,1.0,3.1394823459325454,1.5697411729662727
1e-07,1e-05,1e-05,1e-05,Line,heteroskedastic,0.02,1.0,3.1554411524387023,1.5777205762193511
1e-07,1e-05,1e-05,1e-05,Line,heteroskedastic,0.05,1.0,3.1160419339817693,1.5580209669908847
1e-07,1e-05,1e-05,1e-05,Line,heteroskedastic,0.1,1.0,3.0651108369921154,1.5325554184960577
1e-07,1e-05,1e-05,1e-05,Polynomial,homoskedastic,0.01,1.0,3.6594365371344173,1.8297182685672086
1e-07,1e-05,1e-05,1e-05,Polynomial,homoskedastic,0.02,1.0,3.4590605851760756,1.7295302925880378
1e-07,1e-05,1e-05,1e-05,Polynomial,homoskedastic,0.05,1.0,3.322833162645131,1.6614165813225654
1e-07,1e-05,1e-05,1e-05,Polynomial,homoskedastic,0.1,1.0,2.506884459371411,1.2534422296857055
1e-07,1e-05,1e-05,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.545853597738669,1.7729267988693345
1e-07,1e-05,1e-05,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.4370455777169875,1.7185227888584937
1e-07,1e-05,1e-05,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.8077404483717,0.90387022418585
1e-07,1e-05,1e-05,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.0827981041734227,1.0413990520867114
1e-07,1e-05,1e-05,1e-05,LennardJones,homoskedastic,0.01,1.0,2.0334917140041036,1.0167458570020518
1e-07,1e-05,1e-05,1e-05,LennardJones,homoskedastic,0.02,1.0,2.0509886951032206,1.0254943475516103
1e-07,1e-05,1e-05,1e-05,LennardJones,homoskedastic,0.05,1.0,2.016831878171232,1.008415939085616
1e-07,1e-05,1e-05,1e-05,LennardJones,homoskedastic,0.1,1.0,2.0942592284025183,1.0471296142012592
1e-07,1e-05,1e-05,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0382024444596927,1.0191012222298463
1e-07,1e-05,1e-05,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.963287216482764,0.981643608241382
1e-07,1e-05,1e-05,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0290101682653896,1.0145050841326948
1e-07,1e-05,1e-05,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.1324468702319272,1.0662234351159636
1e-07,1e-05,1e-05,1e-05,Shomate,homoskedastic,0.01,1.0,1.5986742513411931,0.7993371256705966
1e-07,1e-05,1e-05,1e-05,Shomate,homoskedastic,0.02,1.0,2.0602451310125103,1.0301225655062551
1e-07,1e-05,1e-05,1e-05,Shomate,homoskedastic,0.05,1.0,1.7630627216517387,0.8815313608258694
1e-07,1e-05,1e-05,1e-05,Shomate,homoskedastic,0.1,1.0,2.158134401813154,1.079067200906577
1e-07,1e-05,1e-05,1e-05,Shomate,heteroskedastic,0.01,1.0,1.2929120729590358,0.6464560364795179
1e-07,1e-05,1e-05,1e-05,Shomate,heteroskedastic,0.02,1.0,0.8819244682418751,0.44096223412093755
1e-07,1e-05,1e-05,1e-05,Shomate,heteroskedastic,0.05,1.0,0.8865544389782768,0.4432772194891384
1e-07,1e-05,1e-05,1e-05,Shomate,heteroskedastic,0.1,1.0,1.194570836320141,0.5972854181600705
1e-06,1e-07,1e-07,1e-07,Line,homoskedastic,0.01,1.0,3.1258826689177956,1.5629413344588978
1e-06,1e-07,1e-07,1e-07,Line,homoskedastic,0.02,1.0,3.141246139687802,1.570623069843901
1e-06,1e-07,1e-07,1e-07,Line,homoskedastic,0.05,1.0,3.129613838636962,1.564806919318481
1e-06,1e-07,1e-07,1e-07,Line,homoskedastic,0.1,1.0,3.105906918257483,1.5529534591287415
1e-06,1e-07,1e-07,1e-07,Line,heteroskedastic,0.01,1.0,3.1394641952864477,1.5697320976432239
1e-06,1e-07,1e-07,1e-07,Line,heteroskedastic,0.02,1.0,3.155423392344029,1.5777116961720146
1e-06,1e-07,1e-07,1e-07,Line,heteroskedastic,0.05,1.0,3.116023130959491,1.5580115654797455
1e-06,1e-07,1e-07,1e-07,Line,heteroskedastic,0.1,1.0,3.0650905389936023,1.5325452694968011
1e-06,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.01,1.0,3.660732563955543,1.8303662819777715
1e-06,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.02,1.0,3.460137318523085,1.7300686592615424
1e-06,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.05,1.0,3.324151287249974,1.662075643624987
1e-06,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.1,1.0,2.508360554218636,1.254180277109318
1e-06,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.5475622649804337,1.7737811324902168
1e-06,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.438225641408213,1.7191128207041064
1e-06,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.807879788994478,0.903939894497239
1e-06,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.0835668277273656,1.0417834138636828
1e-06,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.01,1.0,2.033735697243371,1.0168678486216856
1e-06,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.02,1.0,2.051260867119455,1.0256304335597275
1e-06,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.05,1.0,2.017079246059349,1.0085396230296746
1e-06,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.1,1.0,2.094544500218645,1.0472722501093226
1e-06,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.0384177132449763,1.0192088566224882
1e-06,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9635560250525776,0.9817780125262888
1e-06,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0292386409980954,1.0146193204990477
1e-06,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1327896141421125,1.0663948070710563
1e-06,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.01,1.0,1.6015225658832524,0.8007612829416262
1e-06,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.02,1.0,2.061135460679564,1.030567730339782
1e-06,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.05,1.0,1.764149157228678,0.882074578614339
1e-06,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.1,1.0,2.159555650105324,1.079777825052662
1e-06,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2938341853981838,0.6469170926990919
1e-06,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8817839495307964,0.4408919747653982
1e-06,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.05,1.0,0.886423741549927,0.4432118707749635
1e-06,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944775007815749,0.5972387503907874
1e-06,1e-07,1e-07,1e-06,Line,homoskedastic,0.01,1.0,3.125887093045707,1.5629435465228536
1e-06,1e-07,1e-07,1e-06,Line,homoskedastic,0.02,1.0,3.1412505422067056,1.5706252711033528
1e-06,1e-07,1e-07,1e-06,Line,homoskedastic,0.05,1.0,3.129618258046529,1.5648091290232644
1e-06,1e-07,1e-07,1e-06,Line,homoskedastic,0.1,1.0,3.1059113728568866,1.5529556864284433
1e-06,1e-07,1e-07,1e-06,Line,heteroskedastic,0.01,1.0,3.139468600342744,1.569734300171372
1e-06,1e-07,1e-07,1e-06,Line,heteroskedastic,0.02,1.0,3.1554277755514066,1.5777138877757033
1e-06,1e-07,1e-07,1e-06,Line,heteroskedastic,0.05,1.0,3.116027571921197,1.5580137859605985
1e-06,1e-07,1e-07,1e-06,Line,heteroskedastic,0.1,1.0,3.0650950631252174,1.5325475315626087
1e-06,1e-07,1e-07,1e-06,Polynomial,homoskedastic,0.01,1.0,3.660733831808562,1.830366915904281
1e-06,1e-07,1e-07,1e-06,Polynomial,homoskedastic,0.02,1.0,3.460138686269691,1.7300693431348455
1e-06,1e-07,1e-07,1e-06,Polynomial,homoskedastic,0.05,1.0,3.3241529979885946,1.6620764989942973
1e-06,1e-07,1e-07,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5083653859798813,1.2541826929899407
1e-06,1e-07,1e-07,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.547563597044042,1.773781798522021
1e-06,1e-07,1e-07,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.438227115927264,1.719113557963632
1e-06,1e-07,1e-07,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8078832034466248,0.9039416017233124
1e-06,1e-07,1e-07,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.083578972244569,1.0417894861222845
1e-06,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.01,1.0,2.033739097687003,1.0168695488435016
1e-06,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.02,1.0,2.051264240127481,1.0256321200637406
1e-06,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.05,1.0,2.017082685238845,1.0085413426194225
1e-06,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0945478598951066,1.0472739299475533
1e-06,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.038421108895339,1.0192105544476695
1e-06,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.9635595639181536,0.9817797819590768
1e-06,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.029242159321588,1.014621079660794
1e-06,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.1327934639831883,1.0663967319915941
1e-06,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.01,1.0,1.601525766900114,0.800762883450057
1e-06,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.02,1.0,2.0611379291178453,1.0305689645589227
1e-06,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.05,1.0,1.7641541944335177,0.8820770972167589
1e-06,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.1,1.0,2.1595615651891666,1.0797807825945833
1e-06,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2938387976704722,0.6469193988352361
1e-06,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.02,1.0,0.881791278991121,0.4408956394955605
1e-06,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.05,1.0,0.886434967586765,0.4432174837933825
1e-06,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.1,1.0,1.194486043538441,0.5972430217692205
1e-06,1e-07,1e-07,1e-05,Line,homoskedastic,0.01,1.0,3.1259313339804424,1.5629656669902212
