alpha_1,alpha_2,lambda_1,lambda_2,dataset,noise_model,noise_level,coverage,width,score
1e-07,1e-07,1e-07,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0835788637761405,1.0417894318880703
1e-07,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.01,1.0,2.03373909768391,1.016869548841955
1e-07,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.02,1.0,2.0512642401137464,1.0256321200568732
1e-07,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.05,1.0,2.01708268516803,1.008541342584015
1e-07,1e-07,1e-07,1e-06,LennardJones,homoskedastic,0.1,1.0,2.094547859505216,1.047273929752608
1e-07,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.0384211088722726,1.0192105544361363
1e-07,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.9635595638176224,0.9817797819088112
1e-07,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.0292421586261993,1.0146210793130996
1e-07,1e-07,1e-07,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.132793459697885,1.0663967298489425
1e-07,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.01,1.0,1.6015257647573626,0.8007628823786813
1e-07,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.02,1.0,2.0611379271044674,1.0305689635522337
1e-07,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.05,1.0,1.7641541754541008,0.8820770877270504
1e-07,1e-07,1e-07,1e-06,Shomate,homoskedastic,0.1,1.0,2.1595615194893574,1.0797807597446787
1e-07,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2938387940001668,0.6469193970000834
1e-07,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8817912798010841,0.44089563990054204
1e-07,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864349689051132,0.4432174844525566
1e-07,1e-07,1e-07,1e-06,Shomate,heteroskedastic,0.1,1.0,1.194486045361768,0.597243022680884
1e-07,1e-07,1e-07,1e-05,Line,homoskedastic,0.01,1.0,3.1259313339808927,1.5629656669904464
1e-07,1e-07,1e-07,1e-05,Line,homoskedastic,0.02,1.0,3.1412945670574235,1.5706472835287117
1e-07,1e-07,1e-07,1e-05,Line,homoskedastic,0.05,1.0,3.129662451809045,1.5648312259045225
1e-07,1e-07,1e-07,1e-05,Line,homoskedastic,0.1,1.0,3.105955918531326,1.552977959265663
1e-07,1e-07,1e-07,1e-05,Line,heteroskedastic,0.01,1.0,3.139512650567251,1.5697563252836255
1e-07,1e-07,1e-07,1e-05,Line,heteroskedastic,0.02,1.0,3.1554716072996527,1.5777358036498264
1e-07,1e-07,1e-07,1e-05,Line,heteroskedastic,0.05,1.0,3.1160719812383215,1.5580359906191608
1e-07,1e-07,1e-07,1e-05,Line,heteroskedastic,0.1,1.0,3.0651403042803684,1.5325701521401842
1e-07,1e-07,1e-07,1e-05,Polynomial,homoskedastic,0.01,1.0,3.660746509945663,1.8303732549728315
1e-07,1e-07,1e-07,1e-05,Polynomial,homoskedastic,0.02,1.0,3.46015236233717,1.730076181168585
1e-07,1e-07,1e-07,1e-05,Polynomial,homoskedastic,0.05,1.0,3.3241700937436294,1.6620850468718147
1e-07,1e-07,1e-07,1e-05,Polynomial,homoskedastic,0.1,1.0,2.508413646147468,1.254206823073734
1e-07,1e-07,1e-07,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.547576916313578,1.773788458156789
1e-07,1e-07,1e-07,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.438241855956605,1.7191209279783024
1e-07,1e-07,1e-07,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.8079173434846998,0.9039586717423499
1e-07,1e-07,1e-07,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.083700312998346,1.041850156499173
1e-07,1e-07,1e-07,1e-05,LennardJones,homoskedastic,0.01,1.0,2.0337731018073106,1.0168865509036553
1e-07,1e-07,1e-07,1e-05,LennardJones,homoskedastic,0.02,1.0,2.0512979698882474,1.0256489849441237
1e-07,1e-07,1e-07,1e-05,LennardJones,homoskedastic,0.05,1.0,2.0171170766362927,1.0085585383181463
1e-07,1e-07,1e-07,1e-05,LennardJones,homoskedastic,0.1,1.0,2.094581455952849,1.0472907279764245
1e-07,1e-07,1e-07,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0384550650634967,1.0192275325317484
1e-07,1e-07,1e-07,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.9635949521156926,0.9817974760578463
1e-07,1e-07,1e-07,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0292773414831293,1.0146386707415647
1e-07,1e-07,1e-07,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.132831957478561,1.0664159787392804
1e-07,1e-07,1e-07,1e-05,Shomate,homoskedastic,0.01,1.0,1.6015577745515435,0.8007788872757717
1e-07,1e-07,1e-07,1e-05,Shomate,homoskedastic,0.02,1.0,2.0611626112713552,1.0305813056356776
1e-07,1e-07,1e-07,1e-05,Shomate,homoskedastic,0.05,1.0,1.7642045448271715,0.8821022724135857
1e-07,1e-07,1e-07,1e-05,Shomate,homoskedastic,0.1,1.0,2.1596206643430125,1.0798103321715062
1e-07,1e-07,1e-07,1e-05,Shomate,heteroskedastic,0.01,1.0,1.2938849150345881,0.6469424575172941
1e-07,1e-07,1e-07,1e-05,Shomate,heteroskedastic,0.02,1.0,0.8818645694856388,0.4409322847428194
1e-07,1e-07,1e-07,1e-05,Shomate,heteroskedastic,0.05,1.0,0.8865472169615225,0.44327360848076125
1e-07,1e-07,1e-07,1e-05,Shomate,heteroskedastic,0.1,1.0,1.1945714668076903,0.5972857334038452
1e-07,1e-07,1e-06,1e-07,Line,homoskedastic,0.01,1.0,3.125879855644119,1.5629399278220595
1e-07,1e-07,1e-06,1e-07,Line,homoskedastic,0.02,1.0,3.1412433126079797,1.5706216563039899
1e-07,1e-07,1e-06,1e-07,Line,homoskedastic,0.05,1.0,3.1296110223285303,1.5648055111642651
1e-07,1e-07,1e-06,1e-07,Line,homoskedastic,0.1,1.0,3.105904123960142,1.552952061980071
1e-07,1e-07,1e-06,1e-07,Line,heteroskedastic,0.01,1.0,3.13946136982186,1.56973068491093
1e-07,1e-07,1e-06,1e-07,Line,heteroskedastic,0.02,1.0,3.1554205527842116,1.5777102763921058
1e-07,1e-07,1e-06,1e-07,Line,heteroskedastic,0.05,1.0,3.116020328143566,1.558010164071783
1e-07,1e-07,1e-06,1e-07,Line,heteroskedastic,0.1,1.0,3.0650877874051305,1.5325438937025653
1e-07,1e-07,1e-06,1e-07,Polynomial,homoskedastic,0.01,1.0,3.6607314578751495,1.8303657289375748
1e-07,1e-07,1e-06,1e-07,Polynomial,homoskedastic,0.02,1.0,3.46013625164718,1.73006812582359
1e-07,1e-07,1e-06,1e-07,Polynomial,homoskedastic,0.05,1.0,3.324150046324967,1.6620750231624835
1e-07,1e-07,1e-06,1e-07,Polynomial,homoskedastic,0.1,1.0,2.5083585316535375,1.2541792658267688
1e-07,1e-07,1e-06,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.54756117269117,1.773780586345585
1e-07,1e-07,1e-06,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.4382245026594025,1.7191122513297012
1e-07,1e-07,1e-06,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.807879060853339,0.9039395304266695
1e-07,1e-07,1e-06,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.0835633446967186,1.0417816723483593
1e-07,1e-07,1e-06,1e-07,LennardJones,homoskedastic,0.01,1.0,2.0337347819419818,1.0168673909709909
1e-07,1e-07,1e-06,1e-07,LennardJones,homoskedastic,0.02,1.0,2.0512599435181462,1.0256299717590731
1e-07,1e-07,1e-06,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0170783356175512,1.0085391678087756
1e-07,1e-07,1e-06,1e-07,LennardJones,homoskedastic,0.1,1.0,2.0945435422374636,1.0472717711187318
1e-07,1e-07,1e-06,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.038416795070615,1.0192083975353075
1e-07,1e-07,1e-06,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9635551374269948,0.9817775687134974
1e-07,1e-07,1e-06,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0292377003255053,1.0146188501627527
1e-07,1e-07,1e-06,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1327884862119917,1.0663942431059958
1e-07,1e-07,1e-06,1e-07,Shomate,homoskedastic,0.01,1.0,1.6015220496780975,0.8007610248390488
1e-07,1e-07,1e-06,1e-07,Shomate,homoskedastic,0.02,1.0,2.0611348037353125,1.0305674018676563
1e-07,1e-07,1e-06,1e-07,Shomate,homoskedastic,0.05,1.0,1.7641482173882563,0.8820741086941282
1e-07,1e-07,1e-06,1e-07,Shomate,homoskedastic,0.1,1.0,2.1595540381921556,1.0797770190960778
1e-07,1e-07,1e-06,1e-07,Shomate,heteroskedastic,0.01,1.0,1.293833713689156,0.646916856844578
1e-07,1e-07,1e-06,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8817836379162243,0.44089181895811214
1e-07,1e-07,1e-06,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864233710786652,0.4432116855393326
1e-07,1e-07,1e-06,1e-07,Shomate,heteroskedastic,0.1,1.0,1.194476995383825,0.5972384976919125
1e-07,1e-07,1e-06,1e-06,Line,homoskedastic,0.01,1.0,3.1258842797680497,1.5629421398840249
1e-07,1e-07,1e-06,1e-06,Line,homoskedastic,0.02,1.0,3.1412477151229212,1.5706238575614606
1e-07,1e-07,1e-06,1e-06,Line,homoskedastic,0.05,1.0,3.12961544173412,1.56480772086706
1e-07,1e-07,1e-06,1e-06,Line,homoskedastic,0.1,1.0,3.105908578555539,1.5529542892777695
1e-07,1e-07,1e-06,1e-06,Line,heteroskedastic,0.01,1.0,3.139465774874191,1.5697328874370955
1e-07,1e-07,1e-06,1e-06,Line,heteroskedastic,0.02,1.0,3.1554249359876443,1.5777124679938221
1e-07,1e-07,1e-06,1e-06,Line,heteroskedastic,0.05,1.0,3.1160247691012777,1.5580123845506388
1e-07,1e-07,1e-06,1e-06,Line,heteroskedastic,0.1,1.0,3.065092311532686,1.532546155766343
1e-07,1e-07,1e-06,1e-06,Polynomial,homoskedastic,0.01,1.0,3.660732725728748,1.830366362864374
1e-07,1e-07,1e-06,1e-06,Polynomial,homoskedastic,0.02,1.0,3.4601376193952866,1.7300688096976433
1e-07,1e-07,1e-06,1e-06,Polynomial,homoskedastic,0.05,1.0,3.3241517570622507,1.6620758785311254
1e-07,1e-07,1e-06,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5083633634198406,1.2541816817099203
1e-07,1e-07,1e-06,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.547562504754395,1.7737812523771974
1e-07,1e-07,1e-06,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.4382259771780372,1.7191129885890186
1e-07,1e-07,1e-06,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8078824753046616,0.9039412376523308
1e-07,1e-07,1e-06,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0835754891529925,1.0417877445764963
1e-07,1e-07,1e-06,1e-06,LennardJones,homoskedastic,0.01,1.0,2.03373818238408,1.01686909119204
1e-07,1e-07,1e-06,1e-06,LennardJones,homoskedastic,0.02,1.0,2.0512633165246648,1.0256316582623324
1e-07,1e-07,1e-06,1e-06,LennardJones,homoskedastic,0.05,1.0,2.017081774795517,1.0085408873977586
1e-07,1e-07,1e-06,1e-06,LennardJones,homoskedastic,0.1,1.0,2.094546901912498,1.047273450956249
1e-07,1e-07,1e-06,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.038420190719455,1.0192100953597274
1e-07,1e-07,1e-06,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.9635586762909991,0.9817793381454996
1e-07,1e-07,1e-06,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.0292412186475777,1.0146206093237888
1e-07,1e-07,1e-06,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.1327923360523293,1.0663961680261647
1e-07,1e-07,1e-06,1e-06,Shomate,homoskedastic,0.01,1.0,1.601525250694341,0.8007626253471705
1e-07,1e-07,1e-06,1e-06,Shomate,homoskedastic,0.02,1.0,2.061137272172458,1.030568636086229
1e-07,1e-07,1e-06,1e-06,Shomate,homoskedastic,0.05,1.0,1.764153254596347,0.8820766272981735
1e-07,1e-07,1e-06,1e-06,Shomate,homoskedastic,0.1,1.0,2.1595599532898175,1.0797799766449088
1e-07,1e-07,1e-06,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2938383259615203,0.6469191629807601
1e-07,1e-07,1e-06,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8817909673747945,0.4408954836873972
1e-07,1e-07,1e-06,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864345971120206,0.4432172985560103
1e-07,1e-07,1e-06,1e-06,Shomate,heteroskedastic,0.1,1.0,1.1944855381386354,0.5972427690693177
1e-07,1e-07,1e-06,1e-05,Line,homoskedastic,0.01,1.0,3.125928520662967,1.5629642603314835
1e-07,1e-07,1e-06,1e-05,Line,homoskedastic,0.02,1.0,3.141291739932973,1.5706458699664865
1e-07,1e-07,1e-06,1e-05,Line,homoskedastic,0.05,1.0,3.129659635446601,1.5648298177233004
1e-07,1e-07,1e-06,1e-05,Line,homoskedastic,0.1,1.0,3.1059531241574776,1.5529765620787388
1e-07,1e-07,1e-06,1e-05,Line,heteroskedastic,0.01,1.0,3.139509825057541,1.5697549125287704
1e-07,1e-07,1e-06,1e-05,Line,heteroskedastic,0.02,1.0,3.1554687676869424,1.5777343838434712
1e-07,1e-07,1e-06,1e-05,Line,heteroskedastic,0.05,1.0,3.116069178329406,1.558034589164703
1e-07,1e-07,1e-06,1e-05,Line,heteroskedastic,0.1,1.0,3.0651375524369597,1.5325687762184799
1e-07,1e-07,1e-06,1e-05,Polynomial,homoskedastic,0.01,1.0,3.6607454042377374,1.8303727021188687
1e-07,1e-07,1e-06,1e-05,Polynomial,homoskedastic,0.02,1.0,3.4601512968324837,1.7300756484162418
1e-07,1e-07,1e-06,1e-05,Polynomial,homoskedastic,0.05,1.0,3.3241688643572243,1.6620844321786121
1e-07,1e-07,1e-06,1e-05,Polynomial,homoskedastic,0.1,1.0,2.508411679409257,1.2542058397046285
1e-07,1e-07,1e-06,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.547575825358168,1.773787912679084
1e-07,1e-07,1e-06,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.4382407223140325,1.7191203611570163
1e-07,1e-07,1e-06,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.8079166192806797,0.9039583096403399
1e-07,1e-07,1e-06,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.0836969377917325,1.0418484688958662
1e-07,1e-07,1e-06,1e-05,LennardJones,homoskedastic,0.01,1.0,2.0337721864921803,1.0168860932460901
1e-07,1e-07,1e-06,1e-05,LennardJones,homoskedastic,0.02,1.0,2.0512970462840134,1.0256485231420067
1e-07,1e-07,1e-06,1e-05,LennardJones,homoskedastic,0.05,1.0,2.01711616624845,1.008558083124225
1e-07,1e-07,1e-06,1e-05,LennardJones,homoskedastic,0.1,1.0,2.0945804983457883,1.0472902491728941
1e-07,1e-07,1e-06,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0384541468954436,1.0192270734477218
1e-07,1e-07,1e-06,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.9635940645733778,0.9817970322866889
1e-07,1e-07,1e-06,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0292764014901707,1.0146382007450854
1e-07,1e-07,1e-06,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.132830833825353,1.0664154169126765
1e-07,1e-07,1e-06,1e-05,Shomate,homoskedastic,0.01,1.0,1.6015572604796497,0.8007786302398249
1e-07,1e-07,1e-06,1e-05,Shomate,homoskedastic,0.02,1.0,2.061161956334796,1.030580978167398
1e-07,1e-07,1e-06,1e-05,Shomate,homoskedastic,0.05,1.0,1.7642036239984409,0.8821018119992204
1e-07,1e-07,1e-06,1e-05,Shomate,homoskedastic,0.1,1.0,2.159619098273174,1.079809549136587
1e-07,1e-07,1e-06,1e-05,Shomate,heteroskedastic,0.01,1.0,1.293884446992352,0.646942223496176
1e-07,1e-07,1e-06,1e-05,Shomate,heteroskedastic,0.02,1.0,0.8818642570422353,0.44093212852111763
1e-07,1e-07,1e-06,1e-05,Shomate,heteroskedastic,0.05,1.0,0.8865468451331724,0.4432734225665862
1e-07,1e-07,1e-06,1e-05,Shomate,heteroskedastic,0.1,1.0,1.1945709595634697,0.5972854797817349
1e-07,1e-07,1e-05,1e-07,Line,homoskedastic,0.01,1.0,3.125851723320602,1.562925861660301
1e-07,1e-07,1e-05,1e-07,Line,homoskedastic,0.02,1.0,3.1412150422191245,1.5706075211095623
1e-07,1e-07,1e-05,1e-07,Line,homoskedastic,0.05,1.0,3.129582859559784,1.564791429779892
1e-07,1e-07,1e-05,1e-07,Line,homoskedastic,0.1,1.0,3.105876181077412,1.552938090538706
1e-07,1e-07,1e-05,1e-07,Line,heteroskedastic,0.01,1.0,3.1394331155804176,1.5697165577902088
1e-07,1e-07,1e-05,1e-07,Line,heteroskedastic,0.02,1.0,3.1553921575126718,1.5776960787563359
1e-07,1e-07,1e-05,1e-07,Line,heteroskedastic,0.05,1.0,3.115992299910027,1.5579961499550135
1e-07,1e-07,1e-05,1e-07,Line,heteroskedastic,0.1,1.0,3.065060269826557,1.5325301349132785
1e-07,1e-07,1e-05,1e-07,Polynomial,homoskedastic,0.01,1.0,3.660720400895914,1.830360200447957
1e-07,1e-07,1e-05,1e-07,Polynomial,homoskedastic,0.02,1.0,3.4601255966904207,1.7300627983452104
1e-07,1e-07,1e-05,1e-07,Polynomial,homoskedastic,0.05,1.0,3.3241377525298916,1.6620688762649458
1e-07,1e-07,1e-05,1e-07,Polynomial,homoskedastic,0.1,1.0,2.5083388638386994,1.2541694319193497
1e-07,1e-07,1e-05,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.547550263237323,1.7737751316186614
1e-07,1e-07,1e-05,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.4382131663269675,1.7191065831634837
1e-07,1e-07,1e-05,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.807871818929001,0.9039359094645005
